zip_code,current_price,pct_change_1yr,pct_change_3yr,pct_change_5yr,income_2023,income_growth_pct,pop_change_pct,population_2023,pct_renter_2023,median_rooms_2023,permit_growth_pct,value_growth_pct,recent_permit_count,monthly_rent_estimate,rent_data_date,price_1bed,price_2bed,price_3bed,price_4bed,price_5bed,bed_price_spread,price_2bed_premium,price_3bed_premium,has_price_data,has_census_data,has_permit_data,has_rent_data,has_bedroom_data,data_completeness,neighborhoods
55410,549531.2859575973,2.5438682953845544,11.565196994385078,17.93194846422374,145038.3108472747,25.29180392896987,4.945218471887333,4347.658931462493,22.682469268636396,6.823885590933621,17.10227950829454,3.220398450897026,880,2505.361904761905,2026-03-31,214821.10637104817,434658.5480367777,558422.2725212041,774118.5872722544,1200029.6747789572,985208.568407909,102.33512217650389,28.473781326383662,TRUE,TRUE,TRUE,TRUE,TRUE,100,Fulton / Linden Hills / Armatage
55431,359776.5636589306,2.0859005896915694,12.054369893634242,26.224039691580277,100697.12316281191,29.625239078171663,5.925144432308419,3639.816679958983,32.026869870614604,6.291352398313775,NA,NA,NA,1743.5707070707074,2026-03-31,NA,334502.0367960005,373725.1458311468,419042.6050602231,455684.5603368445,NA,NA,11.725820688818981,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55441,435507.9846435897,1.4579461045600066,12.84054653390073,27.553118972219387,106099.17914900297,34.872521634731235,-1.6821654538979518,2956.264953428347,44.40570313266845,5.991427225624117,NA,NA,NA,1721.3411588411589,2026-03-31,NA,320390.6656592399,446182.91369102173,558844.8626529768,674102.8652654554,NA,NA,39.26214509806335,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55437,375127.6013023384,1.9905831189164842,12.578762571639125,25.84061227210814,94944.77024698448,37.072574431884924,3.803069090188609,1282.2802337118287,28.970311433955924,6.345031591039632,NA,NA,NA,1637.3005698005695,2026-03-31,155886.25494833893,280922.7303418739,391503.3917539545,475567.8647278068,535804.4052162193,379918.1502678803,80.21007075638089,39.363372724416976,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55403,206641.9072821778,-10.500190499199679,-18.56638534904091,-15.524615267754738,63373.315575007546,46.3321238207359,9.18934411070236,3614.3955475601533,75.49649358413456,2.962881074554784,54.05060223489401,920.7034991535486,1750.6666666666667,1402.0286195286196,2026-03-31,152542.60732556044,282129.79085716273,551162.0805428018,1010704.9300698256,1255230.8040522828,1102688.1967267224,84.9514675300088,95.35763269389912,TRUE,TRUE,TRUE,TRUE,TRUE,100,Loring Park / Steven's Square - Loring Heights / Lowry Hill
55438,385358.0960083459,0.7713052473153814,11.22659435316705,25.238567043745526,106785.76932898283,24.33566082648225,-4.512869973360109,3915.7020563770793,20.045081636082752,6.595701517945808,NA,NA,NA,1675.1666666666667,2026-03-31,154698.91304849615,251394.63652900665,443087.46622721263,556947.3774314831,683244.7723167334,528545.8592682373,62.50575493713883,76.2517579312349,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55444,322270.9856132371,1.86790027510496,13.512941921493882,31.706997656581336,111567.39964788732,38.11863270134758,0.8872554784915758,5084.26902074991,12.246218640393732,6.900902288732395,NA,NA,NA,NA,NA,NA,293291.1647318039,340367.6939889403,360500.6227524626,383926.8913272589,NA,NA,16.051124247191318,TRUE,TRUE,FALSE,FALSE,TRUE,66.66666666666666,NA
55405,442883.89010122814,2.2268461718782104,5.9475616422356525,14.429120657229852,74711.39014300909,20.133681872596483,6.372046039806834,3850.692316593381,68.58292917342686,4.146944805578537,149.2189273067826,249.0334669228767,717.3333333333334,1423.5902356902361,2026-03-31,164490.7113389894,320133.82499747997,462298.4157625193,696853.4036213071,1025662.2338702304,861171.522531241,94.6212174484033,44.40786310729846,TRUE,TRUE,TRUE,TRUE,TRUE,100,Harrison / Bryn - Mawr / Kenwood
55413,313865.6178800384,0.8050625072110108,2.0290152891036346,14.074121574079717,85710.97956403268,41.6410030141532,12.732675522403943,2499.4688816660646,61.84502978062458,4.320312112955164,-6.451457275808302,50.14839748156545,589.3333333333333,1753.3780952380955,2026-03-31,228434.5594739573,338243.672330112,376661.8066929087,411952.3106331296,459535.11418915185,231100.55471519454,48.07027146375087,11.358123597151032,TRUE,TRUE,TRUE,TRUE,TRUE,100,Sheridan / Logan Park / Mid - City Industrial / Northeast Park / St. Anthony West / St. Anthony East / Beltrami / Nicollet Island - East Bank
55436,594966.2407256236,3.4010070455502257,16.882735200137127,23.454510835176748,144098.86978774652,28.799650841359455,8.806276948010396,5530.626524160771,23.103398225167325,7.08083697124793,NA,NA,NA,1741.3989898989896,2026-03-31,143517.42732685758,268328.48975867545,608807.5212840202,823824.2249869289,1258883.2452605795,1115365.817933722,86.96578858507796,126.88888601861052,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55435,234578.3196189569,-3.159931630328595,-1.0842359222831628,5.462276890731096,80856.4704121575,14.623376497719907,1.8344378667160046,3715.4298871747637,52.5901744939404,4.244853787704352,NA,NA,NA,1929.7619883040936,2026-03-31,132700.60543038524,212452.56544506823,581734.030854167,759780.2152449116,897859.4515347425,765158.8461043573,60.09916816583093,173.81831310696984,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55445,343263.9609724031,0.933024183375126,12.270486530268043,29.750266923332227,99667.38028169013,30.805262263741383,6.8439958510572545,7518.162076939247,25.821319175858733,6.2696237124237975,NA,NA,NA,NA,NA,NA,224305.52156013896,355926.7600918908,409171.7121634779,468950.95490882295,NA,NA,58.67944650504854,TRUE,TRUE,FALSE,FALSE,TRUE,66.66666666666666,NA
55442,452105.25775420835,1.9734829905729994,15.158837148993204,30.07417539355073,126620.43438608343,24.316792270402576,2.3065296214386377,4401.569836176322,22.83257941868872,6.871727748691099,NA,NA,NA,2020.5,2026-03-31,202299.29331117027,288501.742017206,479406.3383305585,552389.7777101869,643871.8541327232,441572.5608215529,42.61134445657299,66.1710376438445,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55401,299634.22588772146,-2.003172590373385,-7.81946050043477,-5.211980307402285,104563,9.212161724616944,41.970963484381876,27.91350015446401,52.43215565796211,3.8,-17.32552464616887,-43.40740884279949,282.3333333333333,1870.5258459196816,2026-03-31,270395.2348747826,414846.5067412442,735800.2606755487,NA,NA,465405.0258007661,53.42226978717118,77.36686912359511,TRUE,TRUE,TRUE,TRUE,TRUE,100,North Loop
55424,907995.579975398,2.1289041294206843,20.068321646801614,21.02958640647396,219279.12077523046,28.69612893334839,4.793089891148844,4479.192389506027,10.534035369360579,9.067643583077288,NA,NA,NA,2795,2026-03-31,NA,565095.2371222136,708227.1653566756,1048785.744027965,1653250.786078286,NA,NA,25.32881518580324,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55409,349760.8775666332,2.1341666656820157,3.718338892787703,12.894618808668179,101223.64277631085,33.39872619567825,-3.6157202441204976,3447.794794417201,35.3424230864467,5.856393813655225,72.68947187928669,192.94275822665708,431.66666666666663,1557.5925925925928,2026-03-31,156809.51949707547,277157.266893908,391035.5965904246,494979.6911173654,601507.2721932711,444697.7526961956,76.7477304839755,41.08798263626539,TRUE,TRUE,TRUE,TRUE,TRUE,100,King Field / Bryant
55425,315883.2522687548,1.3461550562671893,8.44079228908157,24.201940562633208,76550.25207078313,24.79253125079661,16.352563746325153,4223.72609186747,57.85876926675007,4.6878388554216865,NA,NA,NA,1650.3214296814297,2026-03-31,247929.08156413137,324701.6192141398,339619.5574066933,379797.61593988,426485.38746465,178556.3059005186,30.965523352753532,4.594352879624887,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55439,643105.8414490497,2.498921264468924,17.512114400454358,25.268896477729225,172178.53115074517,53.553368138096445,4.157909915661637,3359.0603469337893,10.510384197696528,8.504910823356951,NA,NA,NA,NA,NA,298206.50837637397,377683.3012799421,583881.5628815357,766319.1230187793,991670.8697031324,693464.3613267585,26.651595679883172,54.59554629574627,TRUE,TRUE,FALSE,FALSE,TRUE,66.66666666666666,NA
55415,375156.03302921215,5.94408449890262,-2.458550784282348,1.9049378173160614,64345.17142857143,49.24112988005024,15.453205011769853,870.5435637998876,76.98433761210043,2.7169230769230768,30.069930069930066,-50.7316454067548,93,2165.877694235589,2026-03-31,186925.9460752943,532730.0485080475,924655.2931717436,NA,NA,737729.3470964493,184.99523992964694,73.56920184271823,TRUE,TRUE,TRUE,TRUE,TRUE,100,Downtown East
